id,value,feed_id,created_at,lat,lon,ele
0G1D8T5RQBNTKCSQMA5CXJEEJX,-74,3243843,2025-11-25 14:13:51 UTC,,,
0G1D8T6P51PYHBC009CMT4MBJQ,-76,3243843,2025-11-25 14:13:54 UTC,,,
0G1D8T7KCECZRT688TEE5TWX6N,-75,3243843,2025-11-25 14:13:57 UTC,,,
0G1D8T8GN9CKBYV8QJGN53ES02,-79,3243843,2025-11-25 14:14:00 UTC,,,
0G1D8T9DXT44QP0XYCWQ41DXMG,-75,3243843,2025-11-25 14:14:03 UTC,,,
0G1D8TAB8C20G6Y036MF5JMMRG,-75,3243843,2025-11-25 14:14:06 UTC,,,
0G1D8TB8PZ4GY0C595JBY46HHA,-75,3243843,2025-11-25 14:14:09 UTC,,,
0G1D8TC60G6KC57MD3QQ1CK3KA,-75,3243843,2025-11-25 14:14:12 UTC,,,
0G1D8TD36SZW0MBNRF0WQSM74P,-75,3243843,2025-11-25 14:14:15 UTC,,,
0G1D8TE0FMFGAS5MRVW50JY88K,-75,3243843,2025-11-25 14:14:18 UTC,,,
0G1D8TEXTNY2YMNTP2NEK32CB5,-74,3243843,2025-11-25 14:14:21 UTC,,,
0G1D8TFWVZ43V734SKBTHB30CD,-82,3243843,2025-11-25 14:14:24 UTC,,,
0G1D8TQ8NBEK1GZP6DN9H17PXM,-82,3243843,2025-11-25 14:14:48 UTC,,,
0G1D8TRDWKWQ53Y5BBN7X3FJZ0,-82,3243843,2025-11-25 14:14:52 UTC,,,
0G1D8V22XGNQCY5DW7EPQSD190,-84,3243843,2025-11-25 14:15:24 UTC,,,
0G1D8V3BND8G219M2HWMG38CGJ,-82,3243843,2025-11-25 14:15:28 UTC,,,
0G1D8V490X4HP3HMRSBQAW6RWT,-83,3243843,2025-11-25 14:15:31 UTC,,,
0G1D8VKT3WYH0R4MD18SBT8PKA,-86,3243843,2025-11-25 14:16:22 UTC,,,
0G1D8VN8P6BFBQQ22MN0V77AMK,-80,3243843,2025-11-25 14:16:27 UTC,,,
0G1D8VS9NR7MR5JWY443Q5ABDQ,-79,3243843,2025-11-25 14:16:40 UTC,,,
0G1D8W4VKJPCB1A9XZ6NPX3F9W,-81,3243843,2025-11-25 14:17:18 UTC,,,
0G1D8W5RWQAD7H0NVWN72D58H9,-79,3243843,2025-11-25 14:17:21 UTC,,,
0G1D8W6SD43KSDANPE3V57V791,-80,3243843,2025-11-25 14:17:24 UTC,,,
0G1D8W916BW2BHQH7TZQXWFPVK,-83,3243843,2025-11-25 14:17:31 UTC,,,
0G1D8WBGNGSRQ9EE9S6RGFV1KE,-80,3243843,2025-11-25 14:17:39 UTC,,,
0G1D8WDDP02RM3KV6EV9R2TZ32,-81,3243843,2025-11-25 14:17:46 UTC,,,
0G1D8WFPT79S3EC700HAYBWT55,-82,3243843,2025-11-25 14:17:53 UTC,,,
0G1D8WGG4T1DADMB9MH9NZQE0W,-81,3243843,2025-11-25 14:17:56 UTC,,,
0G1D8WNSXWRXD7DTSXCEV88SRV,-83,3243843,2025-11-25 14:18:13 UTC,,,
0G1D8WR2H0WX2KGB61W5XY6B20,-81,3243843,2025-11-25 14:18:21 UTC,,,
0G1D8WTRM2N67KNC54QRT4BSDB,-81,3243843,2025-11-25 14:18:29 UTC,,,
0G1D8WXJTS9X9E2CEDB382P9K7,-82,3243843,2025-11-25 14:18:39 UTC,,,
0G1D8WZNNESCZ5XT5B5M1V21QR,-82,3243843,2025-11-25 14:18:46 UTC,,,
0G1D8X2FRV7XKTES35BZ87TBYB,-81,3243843,2025-11-25 14:18:55 UTC,,,
0G1D8X3C8Q4M1F4A8EZ6TX48ZY,-76,3243843,2025-11-25 14:18:58 UTC,,,
